N,threads,median_runtime,mean_runtime,std_runtime,speedup,efficiency
1000,1,0.0477335,0.047326639999999996,0.0012373896205318685,1.0,1.0
1000,2,0.0524833,0.058030559999999995,0.011421068682833496,0.9094988310567361,0.45474941552836806
1000,4,0.0519239,0.06117674000000001,0.016469286206542165,0.9192972792875727,0.22982431982189316
1000,8,0.0697104,0.07254636,0.01095371617182954,0.6847400100989235,0.08559250126236544
1000,16,0.0874059,0.08423602,0.020262827156075733,0.5461130198304691,0.03413206373940432
10000,1,0.548888,0.5516286,0.005120793327210169,1.0,1.0
10000,2,0.517125,0.516341,0.011340507770818697,1.0614222866811702,0.5307111433405851
10000,4,0.508191,0.5088115999999999,0.015069119775222446,1.0800820951177807,0.2700205237794452
10000,8,0.506591,0.5122236,0.016321128861080655,1.0834933901312893,0.13543667376641116
10000,16,0.56708,0.5748954,0.03699035183395799,0.9679198702123157,0.060494991888269734
100000,1,6.89896,6.898826,0.036310874817332445,1.0,1.0
100000,2,6.29604,6.286648,0.023008880242202077,1.095761780420709,0.5478808902103545
100000,4,6.07613,6.065898,0.02077457388251328,1.1354200782405905,0.28385501956014764
100000,8,6.12933,6.14075,0.05092331735069877,1.1255651107054114,0.14069563883817643
100000,16,5.99201,6.008267999999999,0.03046632025696569,1.1513598942591885,0.07195999339119928
500000,1,43.9139,44.011219999999994,0.2300420548508463,1.0,1.0
500000,2,40.8654,40.85446,0.03526355058697396,1.0745985601511303,0.5372992800755652
500000,4,39.5529,39.559979999999996,0.04222744368298914,1.110257402112108,0.277564350528027
500000,8,39.4209,39.41314,0.07191629161740888,1.113975074135801,0.13924688426697512
500000,16,38.5395,38.56566,0.06857829831659557,1.1394517313405728,0.0712157332087858
