t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0274895
1,-0.953624,-2.96459,-1.18474
2,-0.661972,-0.58214,-0.903197
3,-0.584664,-1.11648,-0.930938
4,-0.415158,-0.272694,-0.654135
5,0.193527,-0.331595,-0.499633
6,-0.839185,-0.0599926,-0.299831
7,-0.190153,-0.576626,-0.378659
8,0.111919,-1.26602,-0.659501
9,-0.130006,-0.306291,-0.489762
10,0.232194,-0.674992,-0.520516
11,0.601741,0.865227,-0.0130765
12,0.771975,-0.737982,-0.249681
13,0.273068,0.229531,-0.0657923
14,-0.535773,0.394812,0.0975153
15,-0.132975,0.529309,0.246565
16,-0.20378,-0.449528,-0.0117972
17,0.422684,-1.15147,-0.408934
18,-0.641796,-1.57556,-0.781299
19,-0.885054,-2.26577,-1.23869
20,-0.826457,0.967823,-0.380079
21,-0.594986,-2.01358,-0.919353
22,-0.467611,0.23737,-0.458986
23,-1.15433,-1.25959,-0.710127
24,-1.24628,-1.59036,-0.965084
25,-1.28547,-1.54365,-1.10597
26,-1.83162,-1.7046,-1.24406
27,-0.675896,-1.58288,-1.28208
28,-0.849868,-2.94147,-1.77399
29,-0.772622,0.0452511,-1.02301
30,-1.07452,-1.1389,-0.997555
31,-1.00712,0.4264,-0.43246
32,-2.15578,0.00294549,-0.257555
33,-2.04737,-1.31953,-0.602831
34,-1.66455,-0.4465,-0.502894
35,-1.7195,0.214343,-0.232108
36,-1.75577,-1.03765,-0.495577
37,-1.84828,-1.42026,-0.788097
38,-1.42246,-2.26004,-1.25114
39,-0.344054,-0.969671,-1.07113
40,-0.303132,-0.240307,-0.702146
41,-0.346292,0.618519,-0.189597
42,-0.257306,0.66336,0.113318
43,0.0949484,-1.75485,-0.548696
44,-0.407237,-3.28669,-1.47505
45,-0.368942,-0.831469,-1.15041
46,0.101567,0.519685,-0.499722
47,1.22808,1.76769,0.320806
48,1.09955,0.958654,0.523506
49,1.63977,2.48989,1.17745
50,1.47344,2.95329,1.72293
51,0.434475,0.761698,1.28085
52,0.327225,2.44611,1.58753
53,-0.180257,-0.291461,0.828568
54,-0.832933,-1.98065,-0.181888
55,-1.17726,-0.294422,-0.219978
56,-0.850214,-2.6521,-1.02929
57,-1.54091,-2.27386,-1.38429
58,-1.66479,-3.22535,-1.92391
59,-2.09838,-1.94854,-1.81492
60,-1.71133,-0.744938,-1.32303
61,-0.934998,-1.30952,-1.23432
62,-1.22425,-2.53217,-1.59631
63,-1.5306,0.250689,-0.856846
64,-2.15196,-1.9681,-1.19883
65,-0.86944,0.786022,-0.41952
66,-0.739213,-1.41922,-0.745007
67,-0.805619,-1.35487,-0.920167
68,0.331499,0.00710359,-0.53726
69,1.89187,2.8645,0.680129
70,1.87471,2.48255,1.25776
71,1.17004,1.65126,1.31097
72,1.62155,0.476597,0.931894
73,1.01785,0.599342,0.748393
74,0.144204,-1.01131,0.0866529
75,-0.432693,-0.461114,-0.110366
76,-0.910904,-0.462255,-0.215841
77,-1.92819,-0.0577704,-0.141601
78,-2.043,-1.55086,-0.632451
79,-1.74845,-0.983973,-0.722179
80,-2.00491,-1.37206,-0.906772
81,-3.03272,-3.62237,-1.80292
82,-2.93509,-2.83152,-2.0437
83,-3.31274,-2.1892,-1.95917
84,-3.15276,-2.82824,-2.1381
85,-2.39299,-2.33742,-2.06564
86,-2.87342,-1.98722,-1.90673
87,-2.56391,-2.1184,-1.86283
88,-2.16257,-3.90586,-2.46365
89,-2.02825,-0.549997,-1.64242
90,-2.22128,-3.80775,-2.28273
91,-1.27728,-0.425337,-1.49693
92,-0.872207,-1.97643,-1.57145
93,-1.05962,-1.0022,-1.26242
94,-0.274246,-0.228638,-0.817124
95,-0.380521,0.463053,-0.320442
96,-0.693376,0.743379,0.071925
97,-0.69568,-1.00386,-0.316718
98,-0.39475,-1.7472,-0.807918
99,-0.754392,-1.07777,-0.844389
100,0.184921,-0.461379,-0.651279
101,1.00877,1.15082,0.0117226
102,0.753022,0.645037,0.236938
103,0.369827,0.628494,0.352487
104,0.442186,2.08105,0.940253
105,0.481182,1.40533,1.03851
106,-0.242297,-0.898826,0.301828
107,-0.654119,-0.31817,0.0700263
108,-0.589525,0.685938,0.265016
109,-0.0620364,0.351676,0.272372
110,-1.36023,-0.766485,-0.104688
111,-1.12265,0.487931,0.0989076
112,-1.44467,-1.0845,-0.298823
113,-0.867171,-0.647097,-0.385117
114,-0.29614,0.916017,0.0950122
115,-0.202505,-1.35056,-0.413598
116,-1.0919,-3.26679,-1.38958
117,-1.86478,-2.77283,-1.77781
118,-2.05452,-2.01082,-1.7441
119,-1.81105,-1.19494,-1.44218
120,-2.27009,-2.21925,-1.61743
121,-3.11601,-4.3345,-2.46128
122,-2.82522,-2.70271,-2.39425
123,-2.73223,-2.55072,-2.30013
124,-2.44713,-2.48232,-2.212
125,-2.10637,-2.35929,-2.1229
126,-1.46231,-1.82052,-1.87314
127,-1.7517,-2.52279,-1.96536
128,-0.981731,-0.906465,-1.47087
129,-1.23483,-3.41151,-2.06322
130,-1.2604,0.302411,-1.10488
131,-0.0921236,-2.09969,-1.37257
132,0.272816,-1.14239,-1.20234
133,-0.79403,-1.41112,-1.19533
134,-0.120226,0.0537402,-0.703038
135,-0.112599,0.703253,-0.164429
136,0.0416512,1.28362,0.344097
137,-0.41736,-0.2015,0.135135
138,0.118122,0.131074,0.125922
139,0.00732846,-1.72225,-0.522317
140,1.04012,-0.360098,-0.434702
141,0.644815,0.573141,-0.055412
142,1.22454,0.664795,0.200339
143,0.84788,1.03139,0.478372
144,1.02905,1.54518,0.820249
145,0.639269,1.38163,0.956303
146,0.985465,0.484678,0.730929
147,1.16318,1.87111,1.08204
148,2.04589,0.83539,0.927799
149,1.46775,1.70976,1.14216
150,0.387297,1.30347,1.12136
151,1.20148,2.02963,1.35729
152,0.832902,1.49161,1.31855
153,1.57066,1.6577,1.34774
154,1.02388,1.07904,1.17688
155,0.412183,1.82643,1.33274
156,0.384597,2.09076,1.50629
157,0.937125,0.825152,1.16533
158,0.63994,1.45363,1.19593
159,0.441529,1.08488,1.07873
160,0.999861,0.36999,0.762162
161,0.735238,0.332787,0.554247
162,0.425001,-0.629635,0.113401
163,-0.409202,-1.20571,-0.352423
164,-0.130622,-0.340639,-0.327623
165,-0.895435,-0.734082,-0.449321
166,-0.570048,0.468779,-0.112442
167,-0.966495,-0.888086,-0.373162
