t,x_true,y_obs,pf_mean
0,-0.550234,-0.0763736,-0.0457511
1,-0.953624,-2.96459,-1.21218
2,-0.661972,-0.58214,-0.919144
3,-0.584664,-1.11648,-0.932962
4,-0.415158,-0.272694,-0.643718
5,0.193527,-0.331595,-0.499121
6,-0.839185,-0.0599926,-0.307451
7,-0.190153,-0.576626,-0.36968
8,0.111919,-1.26602,-0.645664
9,-0.130006,-0.306291,-0.491313
10,0.232194,-0.674992,-0.514839
11,0.601741,0.865227,-0.00182252
12,0.771975,-0.737982,-0.256192
13,0.273068,0.229531,-0.0682522
14,-0.535773,0.394812,0.0910126
15,-0.132975,0.529309,0.234966
16,-0.20378,-0.449528,-0.0287732
17,0.422684,-1.15147,-0.412818
18,-0.641796,-1.57556,-0.777981
19,-0.885054,-2.26577,-1.24835
20,-0.826457,0.967823,-0.404233
21,-0.594986,-2.01358,-0.931094
22,-0.467611,0.23737,-0.465401
23,-1.15433,-1.25959,-0.701017
24,-1.24628,-1.59036,-0.969118
25,-1.28547,-1.54365,-1.10198
26,-1.83162,-1.7046,-1.23379
27,-0.675896,-1.58288,-1.27836
28,-0.849868,-2.94147,-1.77635
29,-0.772622,0.0452511,-1.02247
30,-1.07452,-1.1389,-0.996608
31,-1.00712,0.4264,-0.431415
32,-2.15578,0.00294549,-0.240765
33,-2.04737,-1.31953,-0.603158
34,-1.66455,-0.4465,-0.511429
35,-1.7195,0.214343,-0.222277
36,-1.75577,-1.03765,-0.49091
37,-1.84828,-1.42026,-0.7959
38,-1.42246,-2.26004,-1.24829
39,-0.344054,-0.969671,-1.06824
40,-0.303132,-0.240307,-0.718054
41,-0.346292,0.618519,-0.213947
42,-0.257306,0.66336,0.111535
43,0.0949484,-1.75485,-0.548244
44,-0.407237,-3.28669,-1.47549
45,-0.368942,-0.831469,-1.16362
46,0.101567,0.519685,-0.505276
47,1.22808,1.76769,0.32253
48,1.09955,0.958654,0.525927
49,1.63977,2.48989,1.16035
50,1.47344,2.95329,1.6863
51,0.434475,0.761698,1.26072
52,0.327225,2.44611,1.57342
53,-0.180257,-0.291461,0.832831
54,-0.832933,-1.98065,-0.201468
55,-1.17726,-0.294422,-0.220123
56,-0.850214,-2.6521,-1.06358
57,-1.54091,-2.27386,-1.43732
58,-1.66479,-3.22535,-1.97812
59,-2.09838,-1.94854,-1.83013
60,-1.71133,-0.744938,-1.3374
61,-0.934998,-1.30952,-1.24304
62,-1.22425,-2.53217,-1.59663
63,-1.5306,0.250689,-0.840321
64,-2.15196,-1.9681,-1.17121
65,-0.86944,0.786022,-0.424968
66,-0.739213,-1.41922,-0.749496
67,-0.805619,-1.35487,-0.908961
68,0.331499,0.00710359,-0.528955
69,1.89187,2.8645,0.663142
70,1.87471,2.48255,1.25351
71,1.17004,1.65126,1.30886
72,1.62155,0.476597,0.926144
73,1.01785,0.599342,0.75761
74,0.144204,-1.01131,0.0895171
75,-0.432693,-0.461114,-0.117506
76,-0.910904,-0.462255,-0.24108
77,-1.92819,-0.0577704,-0.157745
78,-2.043,-1.55086,-0.635931
79,-1.74845,-0.983973,-0.719852
80,-2.00491,-1.37206,-0.900837
81,-3.03272,-3.62237,-1.77773
82,-2.93509,-2.83152,-2.02928
83,-3.31274,-2.1892,-1.95659
84,-3.15276,-2.82824,-2.13217
85,-2.39299,-2.33742,-2.06735
86,-2.87342,-1.98722,-1.90671
87,-2.56391,-2.1184,-1.86366
88,-2.16257,-3.90586,-2.45026
89,-2.02825,-0.549997,-1.64997
90,-2.22128,-3.80775,-2.28295
91,-1.27728,-0.425337,-1.49405
92,-0.872207,-1.97643,-1.5692
93,-1.05962,-1.0022,-1.26078
94,-0.274246,-0.228638,-0.815514
95,-0.380521,0.463053,-0.313185
96,-0.693376,0.743379,0.0725271
97,-0.69568,-1.00386,-0.302376
98,-0.39475,-1.7472,-0.785867
99,-0.754392,-1.07777,-0.84374
100,0.184921,-0.461379,-0.648898
101,1.00877,1.15082,0.00402317
102,0.753022,0.645037,0.220551
103,0.369827,0.628494,0.337783
104,0.442186,2.08105,0.922305
105,0.481182,1.40533,1.02081
106,-0.242297,-0.898826,0.288651
107,-0.654119,-0.31817,0.055116
108,-0.589525,0.685938,0.26635
109,-0.0620364,0.351676,0.279879
110,-1.36023,-0.766485,-0.0984799
111,-1.12265,0.487931,0.121717
112,-1.44467,-1.0845,-0.296543
113,-0.867171,-0.647097,-0.396414
114,-0.29614,0.916017,0.0813604
