t, x_true, y_obs
0,-0.550234,-0.0763736
1,-0.953624,-2.96459
2,-0.661972,-0.58214
3,-0.584664,-1.11648
4,-0.415158,-0.272694
5,0.193527,-0.331595
6,-0.839185,-0.0599926
7,-0.190153,-0.576626
8,0.111919,-1.26602
9,-0.130006,-0.306291
10,0.232194,-0.674992
11,0.601741,0.865227
12,0.771975,-0.737982
13,0.273068,0.229531
14,-0.535773,0.394812
15,-0.132975,0.529309
16,-0.20378,-0.449528
17,0.422684,-1.15147
18,-0.641796,-1.57556
19,-0.885054,-2.26577
20,-0.826457,0.967823
21,-0.594986,-2.01358
22,-0.467611,0.23737
23,-1.15433,-1.25959
24,-1.24628,-1.59036
25,-1.28547,-1.54365
26,-1.83162,-1.7046
27,-0.675896,-1.58288
28,-0.849868,-2.94147
29,-0.772622,0.0452511
30,-1.07452,-1.1389
31,-1.00712,0.4264
32,-2.15578,0.00294549
33,-2.04737,-1.31953
34,-1.66455,-0.4465
35,-1.7195,0.214343
36,-1.75577,-1.03765
37,-1.84828,-1.42026
38,-1.42246,-2.26004
39,-0.344054,-0.969671
40,-0.303132,-0.240307
41,-0.346292,0.618519
42,-0.257306,0.66336
43,0.0949484,-1.75485
44,-0.407237,-3.28669
45,-0.368942,-0.831469
46,0.101567,0.519685
47,1.22808,1.76769
48,1.09955,0.958654
49,1.63977,2.48989
50,1.47344,2.95329
51,0.434475,0.761698
52,0.327225,2.44611
53,-0.180257,-0.291461
54,-0.832933,-1.98065
55,-1.17726,-0.294422
56,-0.850214,-2.6521
57,-1.54091,-2.27386
58,-1.66479,-3.22535
59,-2.09838,-1.94854
60,-1.71133,-0.744938
61,-0.934998,-1.30952
62,-1.22425,-2.53217
63,-1.5306,0.250689
64,-2.15196,-1.9681
65,-0.86944,0.786022
66,-0.739213,-1.41922
67,-0.805619,-1.35487
68,0.331499,0.00710359
69,1.89187,2.8645
70,1.87471,2.48255
71,1.17004,1.65126
72,1.62155,0.476597
73,1.01785,0.599342
74,0.144204,-1.01131
75,-0.432693,-0.461114
76,-0.910904,-0.462255
77,-1.92819,-0.0577704
78,-2.043,-1.55086
79,-1.74845,-0.983973
80,-2.00491,-1.37206
81,-3.03272,-3.62237
82,-2.93509,-2.83152
83,-3.31274,-2.1892
84,-3.15276,-2.82824
85,-2.39299,-2.33742
86,-2.87342,-1.98722
87,-2.56391,-2.1184
88,-2.16257,-3.90586
89,-2.02825,-0.549997
90,-2.22128,-3.80775
91,-1.27728,-0.425337
92,-0.872207,-1.97643
93,-1.05962,-1.0022
94,-0.274246,-0.228638
95,-0.380521,0.463053
96,-0.693376,0.743379
97,-0.69568,-1.00386
98,-0.39475,-1.7472
99,-0.754392,-1.07777
100,0.184921,-0.461379
101,1.00877,1.15082
102,0.753022,0.645037
103,0.369827,0.628494
104,0.442186,2.08105
105,0.481182,1.40533
106,-0.242297,-0.898826
107,-0.654119,-0.31817
108,-0.589525,0.685938
109,-0.0620364,0.351676
110,-1.36023,-0.766485
111,-1.12265,0.487931
112,-1.44467,-1.0845
113,-0.867171,-0.647097
114,-0.29614,0.916017
115,-0.202505,-1.35056
116,-1.0919,-3.26679
117,-1.86478,-2.77283
118,-2.05452,-2.01082
119,-1.81105,-1.19494
120,-2.27009,-2.21925
121,-3.11601,-4.3345
122,-2.82522,-2.70271
